name,lon,lat,area_km2
Lago Musters,-69.18674,-45.41615,382
Tungabhadra,76.18430,15.20549,381
,-93.12318,69.25207,380
Lake Skadar,19.29147,42.20913,380
,-126.37769,67.41553,377
,-73.32198,56.00436,377
Barsakelmes Lake,59.70055,46.20246,377
Tiete,-48.12180,-22.63619,373
Lake Francis Case,-99.29478,43.52288,372
,-95.19866,56.44620,372
Lake Novillo,-109.60253,29.13686,372
Presa Miguel Alemán,-96.47722,18.17457,370
Long Hu,116.17550,29.97521,369
Gandhi Sagar Dam,75.49326,24.42910,368
,61.60758,46.10769,366
,-97.82519,57.03360,366
North Caribou Lake,-90.59385,52.78829,365
,20.72599,41.04389,364
,89.86145,33.38469,361
,-75.35786,60.11015,361
,-110.06870,54.53975,359
,-111.43236,64.97143,358
Nagarjuna Sagar Dam,79.21340,16.43078,357
,-46.82591,-20.43980,357
Ivankovo Reservoir,36.69768,56.67993,356
Rikkavesi,29.69232,62.86113,355
,38.74758,61.33485,354
Lago di Garda,10.70848,45.69382,354
Lake Pend Oreille,-116.37755,48.13660,354
,136.64158,51.99571,353
,-117.76719,64.54754,353
Xinfengjiang Shuiku,114.50896,23.91087,352
,-68.83522,-38.55276,352
Lago Cardiel,-71.21365,-48.89951,351
,-64.32943,55.98847,349
Aqqikkol Hu,88.42339,37.07881,349
,-98.46229,51.67853,346
Zalew Wislany,19.58866,54.38536,346
,30.00757,61.89886,346
Lake Te Anau,167.77235,-45.18569,345
,30.32954,46.24074,344
,-68.19761,53.18671,344
Moosehead Lake,-69.70520,45.68675,342
,-79.43460,47.20714,342
,87.99756,31.70269,341
Lake Abbe,41.78082,11.19478,340
,90.32207,35.21548,339
,36.89419,62.32568,338
,-70.82240,53.12430,337
,-73.70305,60.03421,337
,-117.65448,60.93643,336
Kinbasket Lake,-118.71547,52.40841,336
Lake Chamo,37.64919,5.83559,335
Weishan Hu,117.23464,34.61984,335
Lago de Valencia,-67.73556,10.19218,333
Yellowstone Lake,-110.32852,44.43217,330
Zeta Lake,-106.62630,71.05329,330
Lake Débo,-4.14335,15.35532,329
Porttipahta Reservoir,26.69639,68.07653,328
